script,oracle_result,sley_result,oracle_cells,sley_cells,cell_vector,correctness,unexpected_sley_skips,missing_sley_cells,extra_sley_cells,performance_eligible,performance_comparison
t6009-rev-list-parent.sh,PASS,FAIL,15,15,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6010-merge-base.sh,PASS,PASS,12,12,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6011-rev-list-with-bad-commit.sh,PASS,FAIL,6,6,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6012-rev-list-simplify.sh,PASS,PASS,42,42,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6013-rev-list-reverse-parents.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6014-rev-list-all.sh,PASS,PASS,4,4,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6016-rev-list-graph-simplify-history.sh,PASS,FAIL,12,12,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6017-rev-list-stdin.sh,PASS,PASS,37,37,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6018-rev-list-glob.sh,PASS,PASS,95,95,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6019-rev-list-ancestry-path.sh,PASS,FAIL,18,18,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6020-bundle-misc.sh,PASS,FAIL,37,37,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6021-rev-list-exclude-hidden.sh,PASS,FAIL,62,62,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6022-rev-list-missing.sh,PASS,PASS,40,40,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6030-bisect-porcelain.sh,PASS,PASS,97,97,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6040-tracking-info.sh,PASS,PASS,44,44,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6041-bisect-submodule.sh,PASS,PASS,14,14,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6050-replace.sh,PASS,PASS,37,37,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6060-merge-index.sh,PASS,PASS,7,7,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6100-rev-list-in-order.sh,PASS,PASS,3,3,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6101-rev-parse-parents.sh,PASS,PASS,38,38,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6102-rev-list-unexpected-objects.sh,PASS,FAIL,22,22,INCOMPARABLE,FAIL,0,0,0,eligible,INCOMPARABLE
t6110-rev-list-sparse.sh,PASS,PASS,2,2,EXACT,PASS,0,0,0,eligible,COMPARABLE
t6111-rev-list-treesame.sh,PASS,PASS,65,65,EXACT,PASS,0,0,0,eligible,COMPARABLE
