target,script,result,exit_code,pass,fail,todo,skip,total_cells,plan_total,abort,timeout,missing_cells,extra_cells
sley,t2008-checkout-subdir.sh,PASS,0,9,0,0,0,9,9,0,0,0,0
sley,t2016-checkout-patch.sh,PASS,0,19,0,0,0,19,19,0,0,0,0
sley,t2024-checkout-dwim.sh,PASS,0,23,0,0,0,23,23,0,0,0,0
sley,t2071-restore-patch.sh,PASS,0,15,0,0,0,15,15,0,0,0,0
sley,t2103-update-index-ignore-missing.sh,PASS,0,5,0,0,0,5,5,0,0,0,0
sley,t2202-add-addremove.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t2402-worktree-list.sh,PASS,0,27,0,0,0,27,27,0,0,0,0
sley,t3000-ls-files-others.sh,PASS,0,15,0,0,0,15,15,0,0,0,0
sley,t3008-ls-files-lazy-init-name-hash.sh,PASS,0,1,0,0,0,1,1,0,0,0,0
sley,t3050-subprojects-fetch.sh,PASS,0,4,0,0,0,4,4,0,0,0,0
sley,t3105-ls-tree-output.sh,PASS,0,60,0,0,0,60,60,0,0,0,0
sley,t3207-branch-submodule.sh,PASS,0,20,0,0,0,20,20,0,0,0,0
sley,t3307-notes-man.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t3401-rebase-and-am-rename.sh,PASS,0,8,0,2,0,10,10,0,0,0,0
sley,t3409-rebase-environ.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t3420-rebase-autostash.sh,PASS,0,52,0,0,0,52,52,0,0,0,0
sley,t3428-rebase-signoff.sh,PASS,0,7,0,0,0,7,7,0,0,0,0
sley,t3436-rebase-more-options.sh,PASS,0,19,0,0,0,19,19,0,0,0,0
sley,t3501-revert-cherry-pick.sh,PASS,0,21,0,0,0,21,21,0,0,0,0
sley,t3509-cherry-pick-merge-df.sh,FAIL,1,7,2,0,0,9,9,0,0,0,0
sley,t3602-rm-sparse-checkout.sh,FAIL,1,8,5,0,0,13,13,0,0,0,0
sley,t3800-mktag.sh,PASS,0,151,0,0,0,151,151,0,0,0,0
sley,t3907-stash-show-config.sh,FAIL,1,5,5,0,0,10,10,0,0,0,0
sley,t4003-diff-rename-1.sh,FAIL,1,4,3,0,0,7,7,0,0,0,0
sley,t4011-diff-symlink.sh,FAIL,1,5,3,0,0,8,8,0,0,0,0
sley,t4019-diff-wserror.sh,FAIL,1,19,2,0,0,21,21,0,0,0,0
sley,t4028-format-patch-mime-headers.sh,PASS,0,3,0,0,0,3,3,0,0,0,0
sley,t4036-format-patch-signer-mime.sh,PASS,0,5,0,0,0,5,5,0,0,0,0
