label,script,command,result,ok,notok,total
full-oracle-6d144c6c-wave-2,t5611-clone-config.sh,t5611-clone-config.sh,PASS,13,0,13
full-oracle-6d144c6c-wave-2,t5619-clone-local-ambiguous-transport.sh,t5619-clone-local-ambiguous-transport.sh,PASS,2,0,2
full-oracle-6d144c6c-wave-2,t5705-session-id-in-capabilities.sh,t5705-session-id-in-capabilities.sh,PASS,17,0,17
full-oracle-6d144c6c-wave-2,t5811-proto-disable-git.sh,t5811-proto-disable-git.sh,PASS,26,0,26
full-oracle-6d144c6c-wave-2,t6002-rev-list-bisect.sh,t6002-rev-list-bisect.sh,PASS,53,0,53
full-oracle-6d144c6c-wave-2,t6010-merge-base.sh,t6010-merge-base.sh,PASS,12,0,12
full-oracle-6d144c6c-wave-2,t6019-rev-list-ancestry-path.sh,t6019-rev-list-ancestry-path.sh,PASS,18,0,18
full-oracle-6d144c6c-wave-2,t6060-merge-index.sh,t6060-merge-index.sh,PASS,7,0,7
full-oracle-6d144c6c-wave-2,t6114-keep-packs.sh,t6114-keep-packs.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-2,t6135-pathspec-with-attrs.sh,t6135-pathspec-with-attrs.sh,PASS,37,0,37
full-oracle-6d144c6c-wave-2,t6401-merge-criss-cross.sh,t6401-merge-criss-cross.sh,PASS,4,0,4
full-oracle-6d144c6c-wave-2,t6409-merge-subtree.sh,t6409-merge-subtree.sh,PASS,12,0,12
full-oracle-6d144c6c-wave-2,t6418-merge-text-auto.sh,t6418-merge-text-auto.sh,PASS,11,0,11
full-oracle-6d144c6c-wave-2,t6427-diff3-conflict-markers.sh,t6427-diff3-conflict-markers.sh,PASS,9,0,9
full-oracle-6d144c6c-wave-2,t6435-merge-sparse.sh,t6435-merge-sparse.sh,PASS,6,0,6
full-oracle-6d144c6c-wave-2,t6601-path-walk.sh,t6601-path-walk.sh,PASS,36,0,36
full-oracle-6d144c6c-wave-2,t7008-filter-branch-null-sha1.sh,t7008-filter-branch-null-sha1.sh,PASS,6,0,6
full-oracle-6d144c6c-wave-2,t7062-wtstatus-ignorecase.sh,t7062-wtstatus-ignorecase.sh,PASS,1,0,1
full-oracle-6d144c6c-wave-2,t7106-reset-unborn-branch.sh,t7106-reset-unborn-branch.sh,PASS,7,0,7
full-oracle-6d144c6c-wave-2,t7301-clean-interactive.sh,t7301-clean-interactive.sh,PASS,23,0,23
full-oracle-6d144c6c-wave-2,t7409-submodule-detached-work-tree.sh,t7409-submodule-detached-work-tree.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-2,t7419-submodule-set-branch.sh,t7419-submodule-set-branch.sh,PASS,9,0,9
full-oracle-6d144c6c-wave-2,t7450-bad-git-dotfiles.sh,t7450-bad-git-dotfiles.sh,PASS,50,0,50
full-oracle-6d144c6c-wave-2,t7507-commit-verbose.sh,t7507-commit-verbose.sh,PASS,45,0,45
full-oracle-6d144c6c-wave-2,t7515-status-symlinks.sh,t7515-status-symlinks.sh,PASS,3,0,3
full-oracle-6d144c6c-wave-2,t7525-status-rename.sh,t7525-status-rename.sh,PASS,15,0,15
full-oracle-6d144c6c-wave-2,t7605-merge-resolve.sh,t7605-merge-resolve.sh,PASS,4,0,4
full-oracle-6d144c6c-wave-2,t7614-merge-signoff.sh,t7614-merge-signoff.sh,PASS,4,0,4
full-oracle-6d144c6c-wave-2,t7810-grep.sh,t7810-grep.sh,PASS,264,0,264
full-oracle-6d144c6c-wave-2,t7900-maintenance.sh,t7900-maintenance.sh,PASS,75,0,75
full-oracle-6d144c6c-wave-2,t8008-blame-formats.sh,t8008-blame-formats.sh,PASS,5,0,5
full-oracle-6d144c6c-wave-2,t8020-last-modified.sh,t8020-last-modified.sh,PASS,28,0,28
full-oracle-6d144c6c-wave-2,t9303-fast-import-compression.sh,t9303-fast-import-compression.sh,PASS,16,0,16
full-oracle-6d144c6c-wave-2,t9902-completion.sh,t9902-completion.sh,PASS,260,3,263
full-oracle-6d144c6c-wave-3,t0002-gitfile.sh,t0002-gitfile.sh,PASS,14,0,14
full-oracle-6d144c6c-wave-3,t0010-racy-git.sh,t0010-racy-git.sh,PASS,10,0,10
full-oracle-6d144c6c-wave-3,t0021-conversion.sh,t0021-conversion.sh,PASS,43,0,43
full-oracle-6d144c6c-wave-3,t0029-core-unsetenvvars.sh,t0029-core-unsetenvvars.sh,SKIP,0,0,0
full-oracle-6d144c6c-wave-3,t0050-filesystem.sh,t0050-filesystem.sh,PASS,10,3,13
full-oracle-6d144c6c-wave-3,t0066-dir-iterator.sh,t0066-dir-iterator.sh,PASS,10,0,10
full-oracle-6d144c6c-wave-3,t0091-bugreport.sh,t0091-bugreport.sh,PASS,13,0,13
full-oracle-6d144c6c-wave-3,t0203-gettext-setlocale-sanity.sh,t0203-gettext-setlocale-sanity.sh,PASS,2,0,2
full-oracle-6d144c6c-wave-3,t0302-credential-store.sh,t0302-credential-store.sh,PASS,65,0,65
full-oracle-6d144c6c-wave-3,t0602-reffiles-fsck.sh,t0602-reffiles-fsck.sh,PASS,25,0,25
full-oracle-6d144c6c-wave-3,t1002-read-tree-m-u-2way.sh,t1002-read-tree-m-u-2way.sh,PASS,22,0,22
full-oracle-6d144c6c-wave-3,t1010-mktree.sh,t1010-mktree.sh,PASS,8,0,8
full-oracle-6d144c6c-wave-3,t1022-read-tree-partial-clone.sh,t1022-read-tree-partial-clone.sh,PASS,1,0,1
full-oracle-6d144c6c-wave-3,t1300-config.sh,config,PASS,516,0,516
full-oracle-6d144c6c-wave-3,t1308-config-set.sh,t1308-config-set.sh,PASS,39,0,39
full-oracle-6d144c6c-wave-3,t1403-show-ref.sh,t1403-show-ref.sh,PASS,12,0,12
full-oracle-6d144c6c-wave-3,t1411-reflog-show.sh,t1411-reflog-show.sh,PASS,17,0,17
full-oracle-6d144c6c-wave-3,t1419-exclude-refs.sh,t1419-exclude-refs.sh,PASS,13,0,13
full-oracle-6d144c6c-wave-3,t1460-refs-migrate.sh,t1460-refs-migrate.sh,PASS,37,0,37
