script,command,git_result,sley_result,git_ms,sley_ms,delta_ms,speedup_vs_git,git_ok,git_notok,sley_ok,sley_notok,git_total,sley_total
t7001-mv.sh,t7001-mv.sh,FAIL,PASS,4891,7740,2849,0.632,42,12,54,0,54,54
t6200-fmt-merge-msg.sh,t6200-fmt-merge-msg.sh,PASS,PASS,9503,7655,-1848,1.241,37,0,37,0,37,37
t3507-cherry-pick-conflict.sh,t3507-cherry-pick-conflict.sh,FAIL,PASS,6922,7641,719,0.906,43,1,44,0,44,44
t6040-tracking-info.sh,t6040-tracking-info.sh,PASS,PASS,10405,7609,-2796,1.367,44,0,44,0,44,44
t3406-rebase-message.sh,t3406-rebase-message.sh,PASS,PASS,7278,7553,275,0.964,32,0,32,0,32,32
t4020-diff-external.sh,t4020-diff-external.sh,PASS,PASS,6874,7497,623,0.917,72,0,72,0,72,72
t5543-atomic-push.sh,t5543-atomic-push.sh,PASS,PASS,9937,7469,-2468,1.330,13,0,13,0,13,13
t4301-merge-tree-write-tree.sh,t4301-merge-tree-write-tree.sh,PASS,FAIL,7886,7313,-573,1.078,44,0,18,15,44,33
t4200-rerere.sh,t4200-rerere.sh,PASS,PASS,7712,7264,-448,1.062,36,0,36,0,36,36
t6002-rev-list-bisect.sh,t6002-rev-list-bisect.sh,PASS,PASS,6916,7239,323,0.955,53,0,53,0,53,53
t7602-merge-octopus-many.sh,t7602-merge-octopus-many.sh,FAIL,PASS,4784,7236,2452,0.661,1,4,5,0,5,5
t6003-rev-list-topo-order.sh,t6003-rev-list-topo-order.sh,PASS,PASS,7704,7205,-499,1.069,36,0,36,0,36,36
t5571-pre-push-hook.sh,t5571-pre-push-hook.sh,PASS,PASS,7596,7200,-396,1.055,11,0,11,0,11,11
t0302-credential-store.sh,t0302-credential-store.sh,PASS,FAIL,8800,7193,-1607,1.223,65,0,59,6,65,65
t7505-prepare-commit-msg-hook.sh,t7505-prepare-commit-msg-hook.sh,PASS,PASS,7108,7081,-27,1.004,23,0,23,0,23,23
t4038-diff-combined.sh,t4038-diff-combined.sh,PASS,FAIL,7887,7047,-840,1.119,25,1,15,11,26,26
t3206-range-diff.sh,t3206-range-diff.sh,FAIL,FAIL,6887,6969,82,0.988,47,1,46,2,48,48
t7501-commit-basic-functionality.sh,t7501-commit-basic-functionality.sh,PASS,FAIL,6929,6955,26,0.996,77,0,62,15,77,77
t1500-rev-parse.sh,rev-parse,FAIL,PASS,4935,6880,1945,0.717,81,1,82,0,82,82
t8014-blame-ignore-fuzzy.sh,t8014-blame-ignore-fuzzy.sh,PASS,PASS,6549,6828,279,0.959,16,0,16,0,16,16
t7102-reset.sh,t7102-reset.sh,PASS,PASS,7855,6820,-1035,1.152,38,0,38,0,38,38
t7814-grep-recurse-submodules.sh,t7814-grep-recurse-submodules.sh,FAIL,FAIL,4696,6816,2120,0.689,4,30,25,9,34,34
t5407-post-rewrite-hook.sh,t5407-post-rewrite-hook.sh,PASS,PASS,7900,6774,-1126,1.166,17,0,17,0,17,17
t4034-diff-words.sh,t4034-diff-words.sh,PASS,FAIL,6750,6730,-20,1.003,66,0,64,2,66,66
t1000-read-tree-m-3way.sh,t1000-read-tree-m-3way.sh,PASS,PASS,7496,6709,-787,1.117,83,0,83,0,83,83
t1091-sparse-checkout-builtin.sh,t1091-sparse-checkout-builtin.sh,FAIL,FAIL,8986,6686,-2300,1.344,73,4,64,13,77,77
t3650-replay-basics.sh,t3650-replay-basics.sh,PASS,FAIL,7697,6684,-1013,1.152,48,0,43,5,48,48
t9903-bash-prompt.sh,t9903-bash-prompt.sh,PASS,FAIL,7930,6677,-1253,1.188,67,0,54,13,67,67
t6601-path-walk.sh,t6601-path-walk.sh,PASS,PASS,7430,6518,-912,1.140,36,0,36,0,36,36
t6010-merge-base.sh,t6010-merge-base.sh,PASS,PASS,8231,6503,-1728,1.266,12,0,12,0,12,12
t7703-repack-geometric.sh,t7703-repack-geometric.sh,PASS,FAIL,8096,6462,-1634,1.253,18,0,13,5,18,18
t5537-fetch-shallow.sh,t5537-fetch-shallow.sh,FAIL,FAIL,6431,6444,13,0.998,14,3,13,4,17,17
t4211-line-log.sh,t4211-line-log.sh,PASS,PASS,7330,6443,-887,1.138,95,0,95,0,95,95
t1002-read-tree-m-u-2way.sh,t1002-read-tree-m-u-2way.sh,PASS,PASS,5560,6403,843,0.868,22,0,22,0,22,22
t2080-parallel-checkout-basics.sh,t2080-parallel-checkout-basics.sh,FAIL,FAIL,3305,6389,3084,0.517,3,8,2,9,11,11
t5331-pack-objects-stdin.sh,t5331-pack-objects-stdin.sh,PASS,PASS,7488,6372,-1116,1.175,18,0,18,0,18,18
t4300-merge-tree.sh,t4300-merge-tree.sh,PASS,FAIL,7223,6242,-981,1.157,22,0,17,5,22,22
t7609-mergetool--lib.sh,t7609-mergetool--lib.sh,PASS,PASS,6350,6056,-294,1.049,1,0,1,0,1,1
t2024-checkout-dwim.sh,t2024-checkout-dwim.sh,PASS,FAIL,6017,6029,12,0.998,23,0,21,2,23,23
t6022-rev-list-missing.sh,t6022-rev-list-missing.sh,PASS,PASS,6062,6013,-49,1.008,40,0,40,0,40,40
t5548-push-porcelain.sh,t5548-push-porcelain.sh,FAIL,FAIL,5969,5983,14,0.998,15,10,15,10,25,25
t3452-history-split.sh,t3452-history-split.sh,PASS,FAIL,14422,5980,-8442,2.412,25,0,0,25,25,25
t0300-credentials.sh,t0300-credentials.sh,PASS,FAIL,6408,5901,-507,1.086,56,0,52,4,56,56
t0003-attributes.sh,t0003-attributes.sh,PASS,PASS,5363,5835,472,0.919,55,0,55,0,55,55
t0010-racy-git.sh,t0010-racy-git.sh,PASS,PASS,6040,5805,-235,1.040,10,0,10,0,10,10
t3207-branch-submodule.sh,t3207-branch-submodule.sh,FAIL,FAIL,2355,5770,3415,0.408,1,19,3,17,20,20
t6429-merge-sequence-rename-caching.sh,t6429-merge-sequence-rename-caching.sh,PASS,FAIL,6943,5757,-1186,1.206,12,0,3,9,12,12
t9350-fast-export.sh,t9350-fast-export.sh,FAIL,FAIL,8096,5746,-2350,1.409,66,7,60,13,73,73
t3310-notes-merge-manual-resolve.sh,t3310-notes-merge-manual-resolve.sh,PASS,PASS,5738,5733,-5,1.001,22,0,22,0,22,22
t6012-rev-list-simplify.sh,t6012-rev-list-simplify.sh,PASS,PASS,6114,5717,-397,1.069,42,0,42,0,42,42
t5813-proto-disable-ssh.sh,t5813-proto-disable-ssh.sh,PASS,PASS,6173,5593,-580,1.104,81,0,81,0,81,81
t6020-bundle-misc.sh,t6020-bundle-misc.sh,PASS,FAIL,7269,5557,-1712,1.308,37,0,27,10,37,37
t6430-merge-recursive.sh,t6430-merge-recursive.sh,PASS,FAIL,6191,5555,-636,1.114,36,0,32,4,36,36
t4060-diff-submodule-option-diff-format.sh,t4060-diff-submodule-option-diff-format.sh,FAIL,PASS,5098,5507,409,0.926,43,8,51,0,51,51
t2030-unresolve-info.sh,t2030-unresolve-info.sh,PASS,PASS,5534,5370,-164,1.031,14,0,14,0,14,14
t0012-help.sh,t0012-help.sh,FAIL,PASS,6109,5318,-791,1.149,179,2,164,0,181,164
t1001-read-tree-m-2way.sh,t1001-read-tree-m-2way.sh,PASS,FAIL,5573,5274,-299,1.057,29,0,27,2,29,29
t4129-apply-samemode.sh,t4129-apply-samemode.sh,PASS,PASS,5523,5222,-301,1.058,23,0,23,0,23,23
t3309-notes-merge-auto-resolve.sh,t3309-notes-merge-auto-resolve.sh,PASS,PASS,4423,5199,776,0.851,31,0,31,0,31,31
t7031-verify-tag-signed-ssh.sh,t7031-verify-tag-signed-ssh.sh,PASS,PASS,5213,5090,-123,1.024,14,0,14,0,14,14
t6112-rev-list-filters-objects.sh,t6112-rev-list-filters-objects.sh,PASS,PASS,6080,5026,-1054,1.210,54,0,54,0,54,54
t5521-pull-options.sh,t5521-pull-options.sh,PASS,PASS,6461,5017,-1444,1.288,22,0,22,0,22,22
t7450-bad-git-dotfiles.sh,t7450-bad-git-dotfiles.sh,FAIL,FAIL,3950,5009,1059,0.789,11,39,47,3,50,50
t4203-mailmap.sh,t4203-mailmap.sh,PASS,FAIL,8132,5008,-3124,1.624,81,0,69,12,81,81
t5517-push-mirror.sh,t5517-push-mirror.sh,PASS,PASS,8115,5005,-3110,1.621,13,0,13,0,13,13
t2012-checkout-last.sh,t2012-checkout-last.sh,PASS,PASS,4129,4957,828,0.833,22,0,22,0,22,22
t4108-apply-threeway.sh,t4108-apply-threeway.sh,PASS,PASS,4921,4937,16,0.997,18,0,18,0,18,18
t3437-rebase-fixup-options.sh,t3437-rebase-fixup-options.sh,PASS,FAIL,6018,4892,-1126,1.230,13,0,10,3,13,13
t7064-wtstatus-pv2.sh,t7064-wtstatus-pv2.sh,FAIL,PASS,3667,4877,1210,0.752,20,8,28,0,28,28
t4052-stat-output.sh,t4052-stat-output.sh,PASS,PASS,4255,4868,613,0.874,91,0,91,0,91,91
t4047-diff-dirstat.sh,t4047-diff-dirstat.sh,PASS,PASS,4085,4847,762,0.843,41,0,41,0,41,41
t0060-path-utils.sh,t0060-path-utils.sh,PASS,FAIL,4715,4830,115,0.976,219,0,198,21,219,219
t3700-add.sh,t3700-add.sh,PASS,FAIL,4495,4802,307,0.936,58,0,57,1,58,58
t6412-merge-large-rename.sh,t6412-merge-large-rename.sh,PASS,PASS,4460,4799,339,0.929,10,0,10,0,10,10
t5304-prune.sh,t5304-prune.sh,PASS,PASS,7102,4758,-2344,1.493,32,0,32,0,32,32
t6111-rev-list-treesame.sh,t6111-rev-list-treesame.sh,PASS,PASS,5069,4750,-319,1.067,65,0,65,0,65,65
t5501-fetch-push-alternates.sh,t5501-fetch-push-alternates.sh,PASS,PASS,5646,4738,-908,1.192,3,0,3,0,3,3
t3436-rebase-more-options.sh,t3436-rebase-more-options.sh,PASS,PASS,5102,4699,-403,1.086,19,0,19,0,19,19
t5335-compact-multi-pack-index.sh,t5335-compact-multi-pack-index.sh,PASS,FAIL,5678,4665,-1013,1.217,14,0,10,4,14,14
