label,script,command,result,elapsed_ms,ok,notok,total,plan_total
git-baseline-v2.55.0-20260710T044412Z-wave-2,t7064-wtstatus-pv2.sh,t7064-wtstatus-pv2.sh,FAIL,3667,20,8,28,28
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4200-rerere.sh,t4200-rerere.sh,PASS,7712,36,0,36,36
git-baseline-v2.55.0-20260710T044412Z-wave-2,t3507-cherry-pick-conflict.sh,t3507-cherry-pick-conflict.sh,FAIL,6922,43,1,44,44
git-baseline-v2.55.0-20260710T044412Z-wave-2,t3920-crlf-messages.sh,t3920-crlf-messages.sh,PASS,2126,18,0,18,18
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4015-diff-whitespace.sh,t4015-diff-whitespace.sh,FAIL,11162,135,1,136,136
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4060-diff-submodule-option-diff-format.sh,t4060-diff-submodule-option-diff-format.sh,FAIL,5098,43,8,51,51
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4202-log.sh,t4202-log.sh,FAIL,12827,140,15,155,155
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5326-multi-pack-bitmaps.sh,t5326-multi-pack-bitmaps.sh,FAIL,37018,319,38,357,357
git-baseline-v2.55.0-20260710T044412Z-wave-2,t6003-rev-list-topo-order.sh,t6003-rev-list-topo-order.sh,PASS,7704,36,0,36,36
git-baseline-v2.55.0-20260710T044412Z-wave-2,t6040-tracking-info.sh,t6040-tracking-info.sh,PASS,10405,44,0,44,44
git-baseline-v2.55.0-20260710T044412Z-wave-2,t7031-verify-tag-signed-ssh.sh,t7031-verify-tag-signed-ssh.sh,PASS,5213,14,0,14,14
git-baseline-v2.55.0-20260710T044412Z-wave-2,t7001-mv.sh,t7001-mv.sh,FAIL,4891,42,12,54,54
git-baseline-v2.55.0-20260710T044412Z-wave-2,t8002-blame.sh,t8002-blame.sh,PASS,9731,135,0,135,135
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5304-prune.sh,t5304-prune.sh,PASS,7102,32,0,32,32
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5813-proto-disable-ssh.sh,t5813-proto-disable-ssh.sh,PASS,6173,81,0,81,81
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4072-diff-max-depth.sh,t4072-diff-max-depth.sh,PASS,2847,50,26,76,76
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5601-clone.sh,t5601-clone.sh,FAIL,23251,108,7,115,115
git-baseline-v2.55.0-20260710T044412Z-wave-2,t7900-maintenance.sh,t7900-maintenance.sh,PASS,24063,75,0,75,75
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5404-tracking-branches.sh,t5404-tracking-branches.sh,PASS,1725,7,0,7,7
git-baseline-v2.55.0-20260710T044412Z-wave-2,t3415-rebase-autosquash.sh,t3415-rebase-autosquash.sh,PASS,14345,28,0,28,28
git-baseline-v2.55.0-20260710T044412Z-wave-2,t7607-merge-state.sh,t7607-merge-state.sh,FAIL,903,0,1,1,1
git-baseline-v2.55.0-20260710T044412Z-wave-2,t7703-repack-geometric.sh,t7703-repack-geometric.sh,PASS,8096,18,0,18,18
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4139-apply-escape.sh,t4139-apply-escape.sh,PASS,1028,12,0,12,12
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4153-am-resume-override-opts.sh,t4153-am-resume-override-opts.sh,PASS,1934,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-2,t0014-alias.sh,t0014-alias.sh,PASS,2545,23,0,23,23
git-baseline-v2.55.0-20260710T044412Z-wave-2,t0068-for-each-repo.sh,t0068-for-each-repo.sh,PASS,2201,5,0,5,5
git-baseline-v2.55.0-20260710T044412Z-wave-2,t0614-reftable-fsck.sh,t0614-reftable-fsck.sh,PASS,2403,7,0,7,7
git-baseline-v2.55.0-20260710T044412Z-wave-2,t1010-mktree.sh,t1010-mktree.sh,PASS,1132,8,0,8,8
git-baseline-v2.55.0-20260710T044412Z-wave-2,t1305-config-include.sh,t1305-config-include.sh,PASS,2513,37,0,37,37
git-baseline-v2.55.0-20260710T044412Z-wave-2,t1402-check-ref-format.sh,t1402-check-ref-format.sh,PASS,2661,99,0,99,99
git-baseline-v2.55.0-20260710T044412Z-wave-2,t1414-reflog-walk.sh,t1414-reflog-walk.sh,PASS,1574,12,0,12,12
git-baseline-v2.55.0-20260710T044412Z-wave-2,t1509-root-work-tree.sh,t1509-root-work-tree.sh,PASS,480,0,0,0,0
git-baseline-v2.55.0-20260710T044412Z-wave-2,t2000-conflict-when-checking-files-out.sh,t2000-conflict-when-checking-files-out.sh,PASS,920,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-2,t2010-checkout-ambiguous.sh,t2010-checkout-ambiguous.sh,PASS,914,10,0,10,10
git-baseline-v2.55.0-20260710T044412Z-wave-2,t2023-checkout-m.sh,t2023-checkout-m.sh,PASS,1864,5,0,5,5
git-baseline-v2.55.0-20260710T044412Z-wave-2,t2080-parallel-checkout-basics.sh,t2080-parallel-checkout-basics.sh,FAIL,3305,3,8,11,11
git-baseline-v2.55.0-20260710T044412Z-wave-2,t2105-update-index-gitfile.sh,t2105-update-index-gitfile.sh,PASS,930,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-2,t2403-worktree-move.sh,t2403-worktree-move.sh,FAIL,3439,30,3,33,33
git-baseline-v2.55.0-20260710T044412Z-wave-2,t3005-ls-files-relative.sh,t3005-ls-files-relative.sh,PASS,687,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-2,t3013-ls-files-format.sh,t3013-ls-files-format.sh,PASS,1283,20,0,20,20
git-baseline-v2.55.0-20260710T044412Z-wave-2,t3426-rebase-submodule.sh,t3426-rebase-submodule.sh,FAIL,9223,0,29,29,29
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4012-diff-binary.sh,t4012-diff-binary.sh,PASS,1445,13,0,13,13
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4056-diff-order.sh,t4056-diff-order.sh,PASS,1917,23,0,23,23
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4212-log-corrupt.sh,t4212-log-corrupt.sh,PASS,1563,13,0,13,13
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5305-include-tag.sh,t5305-include-tag.sh,PASS,1777,15,0,15,15
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5314-pack-cycle-detection.sh,t5314-pack-cycle-detection.sh,PASS,1074,2,0,2,2
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5328-commit-graph-64bit-time.sh,t5328-commit-graph-64bit-time.sh,FAIL,3492,6,1,7,7
git-baseline-v2.55.0-20260710T044412Z-wave-2,t6000-rev-list-misc.sh,t6000-rev-list-misc.sh,PASS,4068,24,0,24,24
git-baseline-v2.55.0-20260710T044412Z-wave-2,t6013-rev-list-reverse-parents.sh,t6013-rev-list-reverse-parents.sh,PASS,1165,3,0,3,3
git-baseline-v2.55.0-20260710T044412Z-wave-2,t6050-replace.sh,t6050-replace.sh,PASS,8942,37,0,37,37
git-baseline-v2.55.0-20260710T044412Z-wave-2,t6115-rev-list-du.sh,t6115-rev-list-du.sh,PASS,1559,17,0,17,17
git-baseline-v2.55.0-20260710T044412Z-wave-2,t6406-merge-attr.sh,t6406-merge-attr.sh,PASS,4479,13,0,13,13
git-baseline-v2.55.0-20260710T044412Z-wave-2,t6439-merge-co-error-msgs.sh,t6439-merge-co-error-msgs.sh,PASS,1904,6,0,6,6
git-baseline-v2.55.0-20260710T044412Z-wave-2,t7104-reset-hard.sh,t7104-reset-hard.sh,PASS,831,3,0,3,3
git-baseline-v2.55.0-20260710T044412Z-wave-2,t7424-submodule-mixed-ref-formats.sh,t7424-submodule-mixed-ref-formats.sh,FAIL,1962,1,6,7,7
git-baseline-v2.55.0-20260710T044412Z-wave-2,t7702-repack-cyclic-alternate.sh,t7702-repack-cyclic-alternate.sh,PASS,922,2,0,2,2
git-baseline-v2.55.0-20260710T044412Z-wave-2,t8008-blame-formats.sh,t8008-blame-formats.sh,PASS,901,5,0,5,5
git-baseline-v2.55.0-20260710T044412Z-wave-2,t0019-json-writer.sh,t0019-json-writer.sh,PASS,1030,16,0,16,16
git-baseline-v2.55.0-20260710T044412Z-wave-2,t0095-bloom.sh,t0095-bloom.sh,PASS,1009,11,0,11,11
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4024-diff-optimize-common.sh,t4024-diff-optimize-common.sh,PASS,1018,2,0,2,2
git-baseline-v2.55.0-20260710T044412Z-wave-2,t6407-merge-binary.sh,t6407-merge-binary.sh,FAIL,1197,2,1,3,3
git-baseline-v2.55.0-20260710T044412Z-wave-2,t4125-apply-ws-fuzz.sh,t4125-apply-ws-fuzz.sh,PASS,859,4,0,4,4
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5405-send-pack-rewind.sh,t5405-send-pack-rewind.sh,PASS,1007,3,0,3,3
git-baseline-v2.55.0-20260710T044412Z-wave-2,t5573-pull-verify-signatures.sh,t5573-pull-verify-signatures.sh,PASS,651,16,0,16,16
git-baseline-v2.55.0-20260710T044412Z-wave-2,t0031-lockfile-pid.sh,t0031-lockfile-pid.sh,PASS,968,7,0,7,7
