target,script,cell,status,raw_result,directive,description
"sley","t5319-multi-pack-index.sh","62","PASS","ok","","check normal git operations: with alternate (remote midx)"
"sley","t5319-multi-pack-index.sh","63","PASS","ok","","force some 64-bit offsets with pack-objects"
"sley","t5319-multi-pack-index.sh","64","PASS","ok","","verify multi-pack-index with 64-bit offsets"
"sley","t5319-multi-pack-index.sh","65","PASS","ok","","verify incorrect 64-bit offset"
"sley","t5319-multi-pack-index.sh","66","PASS","ok","","setup expire tests"
"sley","t5319-multi-pack-index.sh","67","PASS","ok","","expire does not remove any packs"
"sley","t5319-multi-pack-index.sh","68","PASS","ok","","expire progress off for redirected stderr"
"sley","t5319-multi-pack-index.sh","69","PASS","ok","","expire force progress on for stderr"
"sley","t5319-multi-pack-index.sh","70","PASS","ok","","expire with the --no-progress option"
"sley","t5319-multi-pack-index.sh","71","PASS","ok","","expire removes unreferenced packs"
"sley","t5319-multi-pack-index.sh","72","PASS","ok","","repack with minimum size does not alter existing packs"
"sley","t5319-multi-pack-index.sh","73","PASS","ok","","repack respects repack.packKeptObjects=false"
"sley","t5319-multi-pack-index.sh","74","PASS","ok","","repack creates a new pack"
"sley","t5319-multi-pack-index.sh","75","PASS","ok","","repack (all) ignores cruft pack"
"sley","t5319-multi-pack-index.sh","76","PASS","ok","","repack (--batch-size) ignores cruft pack"
"sley","t5319-multi-pack-index.sh","77","PASS","ok","","expire removes repacked packs"
"sley","t5319-multi-pack-index.sh","78","PASS","ok","","expire works when adding new packs"
"sley","t5319-multi-pack-index.sh","79","PASS","ok","","expire respects .keep files"
"sley","t5319-multi-pack-index.sh","80","PASS","ok","","expiring unreferenced cruft pack retains pack"
"sley","t5319-multi-pack-index.sh","81","PASS","ok","","repack --batch-size=0 repacks everything"
"sley","t5319-multi-pack-index.sh","82","SKIP","ok","SKIP",""
"sley","t5319-multi-pack-index.sh","83","PASS","ok","","repack --batch-size=<large> repacks everything"
"sley","t5319-multi-pack-index.sh","84","PASS","ok","","repack/expire loop"
"sley","t5319-multi-pack-index.sh","85","PASS","ok","","load reverse index when missing .idx, .pack"
"sley","t5319-multi-pack-index.sh","86","PASS","ok","","usage shown without sub-command"
"sley","t5319-multi-pack-index.sh","87","PASS","ok","","complains when run outside of a repository"
"sley","t5319-multi-pack-index.sh","88","PASS","ok","","repack with delta islands"
"sley","t5319-multi-pack-index.sh","89","PASS","ok","","reader notices too-small oid fanout chunk"
"sley","t5319-multi-pack-index.sh","90","PASS","ok","","reader notices too-small oid lookup chunk"
"sley","t5319-multi-pack-index.sh","91","PASS","ok","","reader notices too-small pack names chunk"
"sley","t5319-multi-pack-index.sh","92","PASS","ok","","reader handles unaligned chunks"
"sley","t5319-multi-pack-index.sh","93","PASS","ok","","reader notices too-small object offset chunk"
"sley","t5319-multi-pack-index.sh","94","PASS","ok","","reader bounds-checks large offset table"
"sley","t5319-multi-pack-index.sh","95","PASS","ok","","reader notices too-small revindex chunk"
"sley","t5319-multi-pack-index.sh","96","PASS","ok","","reader notices out-of-bounds fanout"
"sley","t5319-multi-pack-index.sh","97","PASS","ok","","bitmapped packs are stored via the BTMP chunk"
"sley","t5319-multi-pack-index.sh","98","PASS","ok","","pack.preferBitmapTips interprets patterns as hierarchy"
"sley","t3700-add.sh","1","PASS","ok","","Test of git add"
"sley","t3700-add.sh","2","PASS","ok","","Test with no pathspecs"
"sley","t3700-add.sh","3","PASS","ok","","Post-check that foo is in the index"
"sley","t3700-add.sh","4","PASS","ok","","Test that ""git add -- -q"" works"
"sley","t3700-add.sh","5","PASS","ok","","git add: core.fsyncmethod=batch"
"sley","t3700-add.sh","6","PASS","ok","","git update-index: core.fsyncmethod=batch"
"sley","t3700-add.sh","7","PASS","ok","","git add: Test that executable bit is not used if core.filemode=0"
"sley","t3700-add.sh","8","PASS","ok","","git add: filemode=0 should not get confused by symlink"
"sley","t3700-add.sh","9","PASS","ok","","git update-index --add: Test that executable bit is not used..."
"sley","t3700-add.sh","10","PASS","ok","","git add: filemode=0 should not get confused by symlink"
"sley","t3700-add.sh","11","PASS","ok","","git update-index --add: Test that executable bit is not used..."
"sley","t3700-add.sh","12","PASS","ok","",".gitignore test setup"
"sley","t3700-add.sh","13","PASS","ok","",".gitignore is honored"
"sley","t3700-add.sh","14","PASS","ok","","error out when attempting to add ignored ones without -f"
"sley","t3700-add.sh","15","PASS","ok","","error out when attempting to add ignored ones without -f"
"sley","t3700-add.sh","16","PASS","ok","","error out when attempting to add ignored ones but add others"
"sley","t3700-add.sh","17","PASS","ok","","add ignored ones with -f"
"sley","t3700-add.sh","18","PASS","ok","","add ignored ones with -f"
"sley","t3700-add.sh","19","PASS","ok","","add ignored ones with -f"
"sley","t3700-add.sh","20","PASS","ok","",".gitignore with subdirectory"
"sley","t3700-add.sh","21","PASS","ok","","check correct prefix detection"
"sley","t3700-add.sh","22","PASS","ok","","git add with filemode=0, symlinks=0, and unmerged entries"
"sley","t3700-add.sh","23","PASS","ok","","git add with filemode=0, symlinks=0 prefers stage 2 over stage 1"
"sley","t3700-add.sh","24","PASS","ok","","git add --refresh"
"sley","t3700-add.sh","25","PASS","ok","","git add --refresh with pathspec"
"sley","t3700-add.sh","26","PASS","ok","","git add --refresh correctly reports no match error"
"sley","t3700-add.sh","27","PASS","ok","","git add should fail atomically upon an unreadable file"
"sley","t3700-add.sh","28","PASS","ok","","git add --ignore-errors"
"sley","t3700-add.sh","29","PASS","ok","","git add (add.ignore-errors)"
"sley","t3700-add.sh","30","PASS","ok","","git add (add.ignore-errors = false)"
"sley","t3700-add.sh","31","PASS","ok","","--no-ignore-errors overrides config"
"sley","t3700-add.sh","32","PASS","ok","","git add 'fo\[ou\]bar' ignores foobar"
"sley","t3700-add.sh","33","PASS","ok","","git add to resolve conflicts on otherwise ignored path"
"sley","t3700-add.sh","34","PASS","ok","","""add non-existent"" should fail"
"sley","t3700-add.sh","35","PASS","ok","","git add -A on empty repo does not error out"
"sley","t3700-add.sh","36","PASS","ok","","""git add ."" in empty repo"
"sley","t3700-add.sh","37","PASS","ok","","""git add"" a embedded repository"
"sley","t3700-add.sh","38","PASS","ok","","error on a repository with no commits"
"sley","t3700-add.sh","39","PASS","ok","","git add --dry-run of existing changed file"
"sley","t3700-add.sh","40","PASS","ok","","git add --dry-run of non-existing file"
"sley","t3700-add.sh","41","PASS","ok","","git add --dry-run of an existing file output"
"sley","t3700-add.sh","42","PASS","ok","","git add --dry-run --ignore-missing of non-existing file"
"sley","t3700-add.sh","43","PASS","ok","","git add --dry-run --ignore-missing of non-existing file output"
"sley","t3700-add.sh","44","PASS","ok","","git add --dry-run --interactive should fail"
"sley","t3700-add.sh","45","PASS","ok","","git add empty string should fail"
"sley","t3700-add.sh","46","PASS","ok","","git add --chmod=[+-]x stages correctly"
"sley","t3700-add.sh","47","PASS","ok","","git add --chmod=+x with symlinks"
"sley","t3700-add.sh","48","PASS","ok","","git add --chmod=[+-]x changes index with already added file"
"sley","t3700-add.sh","49","PASS","ok","","git add --chmod=[+-]x does not change the working tree"
"sley","t3700-add.sh","50","PASS","ok","","git add --chmod fails with non regular files (but updates the other paths)"
"sley","t3700-add.sh","51","PASS","ok","","git add --chmod honors --dry-run"
"sley","t3700-add.sh","52","PASS","ok","","git add --chmod --dry-run reports error for non regular files"
"sley","t3700-add.sh","53","PASS","ok","","git add --chmod --dry-run reports error for unmatched pathspec"
"sley","t3700-add.sh","54","PASS","ok","","no file status change if no pathspec is given"
"sley","t3700-add.sh","55","PASS","ok","","no file status change if no pathspec is given in subdir"
"sley","t3700-add.sh","56","PASS","ok","","all statuses changed in folder if . is given"
"sley","t3700-add.sh","57","PASS","ok","","cannot add a submodule of a different algorithm"
"sley","t3700-add.sh","58","PASS","ok","","path is case-insensitive"
"sley","t5900-repo-selection.sh","1","PASS","ok","","find .git dir in worktree"
"sley","t5900-repo-selection.sh","2","PASS","ok","","automagically add .git suffix"
"sley","t5900-repo-selection.sh","3","PASS","ok","","automagically add .git suffix to worktree"
"sley","t5900-repo-selection.sh","4","PASS","ok","","prefer worktree foo over bare foo.git"
"sley","t5900-repo-selection.sh","5","PASS","ok","","prefer bare foo over bare foo.git"
"sley","t5900-repo-selection.sh","6","PASS","ok","","disambiguate with full foo.git"
"sley","t5900-repo-selection.sh","7","PASS","ok","","we are not fooled by non-git foo directory"
"sley","t5900-repo-selection.sh","8","PASS","ok","","prefer inner .git over outer bare"
"sley","t2105-update-index-gitfile.sh","1","PASS","ok","","submodule with absolute .git file"
"sley","t2105-update-index-gitfile.sh","2","PASS","ok","","add gitlink to absolute .git file"
"sley","t2105-update-index-gitfile.sh","3","PASS","ok","","submodule with relative .git file"
"sley","t2105-update-index-gitfile.sh","4","PASS","ok","","add gitlink to relative .git file"
"sley","t6133-pathspec-rev-dwim.sh","1","PASS","ok","","setup"
"sley","t6133-pathspec-rev-dwim.sh","2","PASS","ok","","non-rev wildcard dwims to pathspec"
"sley","t6133-pathspec-rev-dwim.sh","3","PASS","ok","","tree:path with metacharacters dwims to rev"
"sley","t6133-pathspec-rev-dwim.sh","4","PASS","ok","","^{foo} with metacharacters dwims to rev"
"sley","t6133-pathspec-rev-dwim.sh","5","PASS","ok","","@{foo} with metacharacters dwims to rev"
"sley","t6133-pathspec-rev-dwim.sh","6","PASS","ok","",":/*.t from a subdir dwims to a pathspec"
"sley","t6301-for-each-ref-errors.sh","1","PASS","ok","","setup"
"sley","t6301-for-each-ref-errors.sh","2","PASS","ok","","Broken refs are reported correctly"
"sley","t6301-for-each-ref-errors.sh","3","PASS","ok","","NULL_SHA1 refs are reported correctly"
"sley","t6301-for-each-ref-errors.sh","4","PASS","ok","","Missing objects are reported correctly"
"sley","t6301-for-each-ref-errors.sh","5","PASS","ok","","ahead-behind requires an argument"
"sley","t6301-for-each-ref-errors.sh","6","PASS","ok","","missing ahead-behind base"
"sley","t3430-rebase-merges.sh","1","PASS","ok","","setup"
"sley","t3430-rebase-merges.sh","2","PASS","ok","","create completely different structure"
"sley","t3430-rebase-merges.sh","3","PASS","ok","","generate correct todo list"
"sley","t3430-rebase-merges.sh","4","PASS","ok","","`reset` refuses to overwrite untracked files"
"sley","t3430-rebase-merges.sh","5","PASS","ok","","`reset` rejects trees"
"sley","t3430-rebase-merges.sh","6","PASS","ok","","`reset` only looks for labels under refs/rewritten/"
"sley","t3430-rebase-merges.sh","7","PASS","ok","","failed `merge -C` writes patch (may be rescheduled, too)"
"sley","t3430-rebase-merges.sh","8","PASS","ok","","failed `merge <branch>` does not crash"
"sley","t3430-rebase-merges.sh","9","PASS","ok","","merge -c commits before rewording and reloads todo-list"
"sley","t3430-rebase-merges.sh","10","PASS","ok","","merge -c rewords when a strategy is given"
"sley","t3430-rebase-merges.sh","11","PASS","ok","","with a branch tip that was cherry-picked already"
"sley","t3430-rebase-merges.sh","12","PASS","ok","","--no-rebase-merges countermands --rebase-merges"
"sley","t3430-rebase-merges.sh","13","PASS","ok","","do not rebase cousins unless asked for"
"sley","t3430-rebase-merges.sh","14","PASS","ok","","rebase.rebaseMerges=rebase-cousins is equivalent to --rebase-merges=rebase-cousins"
"sley","t3430-rebase-merges.sh","15","PASS","ok","","--no-rebase-merges overrides rebase.rebaseMerges=no-rebase-cousins"
"sley","t3430-rebase-merges.sh","16","PASS","ok","","--rebase-merges overrides rebase.rebaseMerges=rebase-cousins"
"sley","t3430-rebase-merges.sh","17","PASS","ok","","refs/rewritten/* is worktree-local"
"sley","t3430-rebase-merges.sh","18","PASS","ok","","--abort cleans up refs/rewritten"
"sley","t3430-rebase-merges.sh","19","PASS","ok","","--quit cleans up refs/rewritten"
"sley","t3430-rebase-merges.sh","20","PASS","ok","","post-rewrite hook and fixups work for merges"
"sley","t3430-rebase-merges.sh","21","PASS","ok","","refuse to merge ancestors of HEAD"
"sley","t3430-rebase-merges.sh","22","PASS","ok","","root commits"
"sley","t3430-rebase-merges.sh","23","PASS","ok","","a ""merge"" into a root commit is a fast-forward"
"sley","t3430-rebase-merges.sh","24","PASS","ok","","A root commit can be a cousin, treat it that way"
"sley","t3430-rebase-merges.sh","25","PASS","ok","","labels that are object IDs are rewritten"
"sley","t3430-rebase-merges.sh","26","PASS","ok","","octopus merges"
"sley","t3430-rebase-merges.sh","27","PASS","ok","","with --autosquash and --exec"
