target,script,cell,status,raw_result,directive,description
"oracle","t5319-multi-pack-index.sh","60","PASS","ok","","check normal git operations: with alternate (local midx)"
"oracle","t5319-multi-pack-index.sh","61","PASS","ok","","multi-pack-index in an alternate"
"oracle","t5319-multi-pack-index.sh","62","PASS","ok","","check normal git operations: with alternate (remote midx)"
"oracle","t5319-multi-pack-index.sh","63","PASS","ok","","force some 64-bit offsets with pack-objects"
"oracle","t5319-multi-pack-index.sh","64","PASS","ok","","verify multi-pack-index with 64-bit offsets"
"oracle","t5319-multi-pack-index.sh","65","PASS","ok","","verify incorrect 64-bit offset"
"oracle","t5319-multi-pack-index.sh","66","PASS","ok","","setup expire tests"
"oracle","t5319-multi-pack-index.sh","67","PASS","ok","","expire does not remove any packs"
"oracle","t5319-multi-pack-index.sh","68","PASS","ok","","expire progress off for redirected stderr"
"oracle","t5319-multi-pack-index.sh","69","PASS","ok","","expire force progress on for stderr"
"oracle","t5319-multi-pack-index.sh","70","PASS","ok","","expire with the --no-progress option"
"oracle","t5319-multi-pack-index.sh","71","PASS","ok","","expire removes unreferenced packs"
"oracle","t5319-multi-pack-index.sh","72","PASS","ok","","repack with minimum size does not alter existing packs"
"oracle","t5319-multi-pack-index.sh","73","PASS","ok","","repack respects repack.packKeptObjects=false"
"oracle","t5319-multi-pack-index.sh","74","PASS","ok","","repack creates a new pack"
"oracle","t5319-multi-pack-index.sh","75","PASS","ok","","repack (all) ignores cruft pack"
"oracle","t5319-multi-pack-index.sh","76","PASS","ok","","repack (--batch-size) ignores cruft pack"
"oracle","t5319-multi-pack-index.sh","77","PASS","ok","","expire removes repacked packs"
"oracle","t5319-multi-pack-index.sh","78","PASS","ok","","expire works when adding new packs"
"oracle","t5319-multi-pack-index.sh","79","PASS","ok","","expire respects .keep files"
"oracle","t5319-multi-pack-index.sh","80","PASS","ok","","expiring unreferenced cruft pack retains pack"
"oracle","t5319-multi-pack-index.sh","81","PASS","ok","","repack --batch-size=0 repacks everything"
"oracle","t5319-multi-pack-index.sh","82","SKIP","ok","SKIP",""
"oracle","t5319-multi-pack-index.sh","83","PASS","ok","","repack --batch-size=<large> repacks everything"
"oracle","t5319-multi-pack-index.sh","84","PASS","ok","","repack/expire loop"
"oracle","t5319-multi-pack-index.sh","85","PASS","ok","","load reverse index when missing .idx, .pack"
"oracle","t5319-multi-pack-index.sh","86","PASS","ok","","usage shown without sub-command"
"oracle","t5319-multi-pack-index.sh","87","PASS","ok","","complains when run outside of a repository"
"oracle","t5319-multi-pack-index.sh","88","PASS","ok","","repack with delta islands"
"oracle","t5319-multi-pack-index.sh","89","PASS","ok","","reader notices too-small oid fanout chunk"
"oracle","t5319-multi-pack-index.sh","90","PASS","ok","","reader notices too-small oid lookup chunk"
"oracle","t5319-multi-pack-index.sh","91","PASS","ok","","reader notices too-small pack names chunk"
"oracle","t5319-multi-pack-index.sh","92","PASS","ok","","reader handles unaligned chunks"
"oracle","t5319-multi-pack-index.sh","93","PASS","ok","","reader notices too-small object offset chunk"
"oracle","t5319-multi-pack-index.sh","94","PASS","ok","","reader bounds-checks large offset table"
"oracle","t5319-multi-pack-index.sh","95","PASS","ok","","reader notices too-small revindex chunk"
"oracle","t5319-multi-pack-index.sh","96","PASS","ok","","reader notices out-of-bounds fanout"
"oracle","t5319-multi-pack-index.sh","97","PASS","ok","","bitmapped packs are stored via the BTMP chunk"
"oracle","t5319-multi-pack-index.sh","98","PASS","ok","","pack.preferBitmapTips interprets patterns as hierarchy"
"oracle","t3700-add.sh","1","PASS","ok","","Test of git add"
"oracle","t3700-add.sh","2","PASS","ok","","Test with no pathspecs"
"oracle","t3700-add.sh","3","PASS","ok","","Post-check that foo is in the index"
"oracle","t3700-add.sh","4","PASS","ok","","Test that ""git add -- -q"" works"
"oracle","t3700-add.sh","5","PASS","ok","","git add: core.fsyncmethod=batch"
"oracle","t3700-add.sh","6","PASS","ok","","git update-index: core.fsyncmethod=batch"
"oracle","t3700-add.sh","7","PASS","ok","","git add: Test that executable bit is not used if core.filemode=0"
"oracle","t3700-add.sh","8","PASS","ok","","git add: filemode=0 should not get confused by symlink"
"oracle","t3700-add.sh","9","PASS","ok","","git update-index --add: Test that executable bit is not used..."
"oracle","t3700-add.sh","10","PASS","ok","","git add: filemode=0 should not get confused by symlink"
"oracle","t3700-add.sh","11","PASS","ok","","git update-index --add: Test that executable bit is not used..."
"oracle","t3700-add.sh","12","PASS","ok","",".gitignore test setup"
"oracle","t3700-add.sh","13","PASS","ok","",".gitignore is honored"
"oracle","t3700-add.sh","14","PASS","ok","","error out when attempting to add ignored ones without -f"
"oracle","t3700-add.sh","15","PASS","ok","","error out when attempting to add ignored ones without -f"
"oracle","t3700-add.sh","16","PASS","ok","","error out when attempting to add ignored ones but add others"
"oracle","t3700-add.sh","17","PASS","ok","","add ignored ones with -f"
"oracle","t3700-add.sh","18","PASS","ok","","add ignored ones with -f"
"oracle","t3700-add.sh","19","PASS","ok","","add ignored ones with -f"
"oracle","t3700-add.sh","20","PASS","ok","",".gitignore with subdirectory"
"oracle","t3700-add.sh","21","PASS","ok","","check correct prefix detection"
"oracle","t3700-add.sh","22","PASS","ok","","git add with filemode=0, symlinks=0, and unmerged entries"
"oracle","t3700-add.sh","23","PASS","ok","","git add with filemode=0, symlinks=0 prefers stage 2 over stage 1"
"oracle","t3700-add.sh","24","PASS","ok","","git add --refresh"
"oracle","t3700-add.sh","25","PASS","ok","","git add --refresh with pathspec"
"oracle","t3700-add.sh","26","PASS","ok","","git add --refresh correctly reports no match error"
"oracle","t3700-add.sh","27","PASS","ok","","git add should fail atomically upon an unreadable file"
"oracle","t3700-add.sh","28","PASS","ok","","git add --ignore-errors"
"oracle","t3700-add.sh","29","PASS","ok","","git add (add.ignore-errors)"
"oracle","t3700-add.sh","30","PASS","ok","","git add (add.ignore-errors = false)"
"oracle","t3700-add.sh","31","PASS","ok","","--no-ignore-errors overrides config"
"oracle","t3700-add.sh","32","PASS","ok","","git add 'fo\[ou\]bar' ignores foobar"
"oracle","t3700-add.sh","33","PASS","ok","","git add to resolve conflicts on otherwise ignored path"
"oracle","t3700-add.sh","34","PASS","ok","","""add non-existent"" should fail"
"oracle","t3700-add.sh","35","PASS","ok","","git add -A on empty repo does not error out"
"oracle","t3700-add.sh","36","PASS","ok","","""git add ."" in empty repo"
"oracle","t3700-add.sh","37","PASS","ok","","""git add"" a embedded repository"
"oracle","t3700-add.sh","38","PASS","ok","","error on a repository with no commits"
"oracle","t3700-add.sh","39","PASS","ok","","git add --dry-run of existing changed file"
"oracle","t3700-add.sh","40","PASS","ok","","git add --dry-run of non-existing file"
"oracle","t3700-add.sh","41","PASS","ok","","git add --dry-run of an existing file output"
"oracle","t3700-add.sh","42","PASS","ok","","git add --dry-run --ignore-missing of non-existing file"
"oracle","t3700-add.sh","43","PASS","ok","","git add --dry-run --ignore-missing of non-existing file output"
"oracle","t3700-add.sh","44","PASS","ok","","git add --dry-run --interactive should fail"
"oracle","t3700-add.sh","45","PASS","ok","","git add empty string should fail"
"oracle","t3700-add.sh","46","PASS","ok","","git add --chmod=[+-]x stages correctly"
"oracle","t3700-add.sh","47","PASS","ok","","git add --chmod=+x with symlinks"
"oracle","t3700-add.sh","48","PASS","ok","","git add --chmod=[+-]x changes index with already added file"
"oracle","t3700-add.sh","49","PASS","ok","","git add --chmod=[+-]x does not change the working tree"
"oracle","t3700-add.sh","50","PASS","ok","","git add --chmod fails with non regular files (but updates the other paths)"
"oracle","t3700-add.sh","51","PASS","ok","","git add --chmod honors --dry-run"
"oracle","t3700-add.sh","52","PASS","ok","","git add --chmod --dry-run reports error for non regular files"
"oracle","t3700-add.sh","53","PASS","ok","","git add --chmod --dry-run reports error for unmatched pathspec"
"oracle","t3700-add.sh","54","PASS","ok","","no file status change if no pathspec is given"
"oracle","t3700-add.sh","55","PASS","ok","","no file status change if no pathspec is given in subdir"
"oracle","t3700-add.sh","56","PASS","ok","","all statuses changed in folder if . is given"
"oracle","t3700-add.sh","57","PASS","ok","","cannot add a submodule of a different algorithm"
